,问题,选项1,选项2,选项3,选项4,答案
0,以下哪句话中“不论”的意思(或用法)与其他句子不同。,我从来没有埋怨人民，不论是现在或任何时刻。叶,天空收容每一片云彩，不论其美丑，所以天空宽阔无边。大地拥抱每一寸土地，不论其贫富，所以大地广袤无垠。海洋接纳每一条河流，不论其大小，所以海洋广阔无边,幸福的斗争不论它是如何的艰难，它并不是一种痛苦，而是快乐，而只是喜剧。车尔尼雪夫斯,存而不论,D
1,以下哪句话中“不断”的意思(或用法)与其他句子不同。,人生就像战场，不是你死便是我活。社会不断发展，跟不上节奏的都将被淘汰，只有不断地汲取教训，不断改变自我去适应社会，才能被社会所录用,脚步怎样才能不断前时？把脚印留在身后,她的声音异常柔和，像软软的扯不断的丝，唱到悲壮的地方，她的声音又是十分凄厉，像深夜里战场上的号角,所谓高质量人生，其实就是平衡不断遭到破坏和重建。赵鑫,C
2,以下哪句话中“不错”的意思(或用法)与其他句子不同。,那剑舞得果然不错，剑过处，习习生风，吹动丁香树上一片片白花瓣飘落下来,天天通知自己一次，我真的很不错,抽象概念作为一种见解倒是不错的，但应用到人们身上，就不那么行得通了。泰戈,事业并不错，错的只是它的低劣的实行者。屠格涅,D
3,以下哪句话中“布局”的意思(或用法)与其他句子不同。,这组高山建筑，布局周密，结构严谨，铜铁铸造，玲珑精巧，造价极高,故宫的建筑富丽堂皇，气魄雄伟。布局严整，达到我国建筑史上的艺术高峰,他把文章的布局稍稍改动了一些,整个建筑宏伟，布局严谨。楼亭仓舍，左右对称，贴金彩画，装饰细腻,C
4,以下哪句话中“起步”的意思(或用法)与其他句子不同。,奋斗者的幸福是从痛苦起步的，享乐者的痛苦是从“幸福”开始的,改变，从现在开始；成功，由今天起步,黄河从冰川万丈的巴颜喀拉山北麓起步，一路上接纳着千溪百川，浩浩荡荡，曲波折折，奔向巨浪滔天的黄海之边，像一条金色的钢铁巨龙，迤逦般地横卧在我国北部辽阔的土地上,虽然起步迟，只要不畏挫折，坚持到底，照样能超越他人,C
5,以下哪句话中“外部”的意思(或用法)与其他句子不同。,那些无法从外部事物中获得欢愉的人们，必须从自己的思想中寻求乐趣。他们必须设想出自己并不具备的本质，因为谁会为自己的固有本质而感到愉悦呢？约翰,我们的感觉，我们的意识只是外部。马克,辩证法是关于外部世界和人类思维运动的一船规律的科学。恩格,宗教是对支配着人们日常生活的外部力量的幻想的颠倒的反映。马克,A
6,以下哪句话中“总部”的意思(或用法)与其他句子不同。,于是偶把头看出窗外，巴望着来个奥运村和奥组委总部大厦的惊鸿一瞥,丰田汽车公司在加州的总部位于托伦斯，从我办公室的窗户向外眺望，目光越过405高速公路，直至远处的洛杉矶，那里高楼大厦鳞次栉比，不断提醒我们自己每天所面对的挑战，就是向迅速扩展的城市地区，加入我们不断增长的汽车队伍,曹操的百万大军百万大军势如破竹，直袭敌人总部,另外还有573家正在筹备之中，其中包括总部位于旧金山的在线微型贷款非政府组织kiva，该组织计划在中国设立分支机构,C
7,以下哪句话中“部长”的意思(或用法)与其他句子不同。,在收到何伯逊部长的信之前三秒钟，我还像不愿意去北冰洋旅行一样不愿意去追逐海麒麟。读了这位海军部长的来信，三秒钟之后，我才理解到我的真正志愿，我生平的唯一目的，就是要捕捉这样捣乱的怪物，把它从世界上清除出去,以上一级的组织目标为方向：用科长的态度当科员，以部长的立场当科长，用老总的胸怀当部长，以老板的心态来打工,联邦层级的第一个政治牺牲品是不得人心的内政部长。他在星期天辞职,气宇轩昂的王部长走进了会议室,A
8,以下哪句话中“人才”的意思(或用法)与其他句子不同。,最好的人才是免费的，因为他赚取的利润早就把他的薪水给盖住了,对人才的运用，仅仅限于收罗是远远不够的，重要的是对人才不仅要善于识别其长处，而且要敢于大胆地使用，以让其充分显示自己的才能,人才辈出是我们的事业兴旺发达的根本保证。,"""大才小用会浪费人才,小才大用则会使事情搞糟,所以用人一定要慎重。""",D
9,以下哪句话中“裁判”的意思(或用法)与其他句子不同。,跳远是我的长项，所以我想我一定能拿奖。裁判员发布命令：跳。我鼓足了劲猛地一跳，果然跳出个2.14米的好成绩。后来发奖的时候也拿到了奖,奥运会誓言鼓励运动员、教练员和裁判员遵守规则，发扬体育精神,裁判老师举起了乌黑的发令枪，运动员场上突然安静了下来，六名运动员各占一条跑道，他们屏住了呼吸，全神贯注，像战士正在等待着冲锋的号令,时间是最公正的裁判；历史是最优秀的见证人。你终究会知道我如何爱你，但是，要给我一定的时间,B
10,以下哪句话中“总裁”的意思(或用法)与其他句子不同。,（辞去总裁只当董事长）我给自己的定位是：能不做的就不做，只解决总裁与*记不能解决的问题。牛根,千学万学，学会感恩，做自己精神的舵手，心灵的总裁,美国通用公司前总裁卡耐基曾经说过这么一句话：“一双灵巧的耳朵胜过十张能说会道的嘴巴。”,作为一个未来的总裁，应该具有激发和识别创新思想的才能,B
11,以下哪句话中“称号”的意思(或用法)与其他句子不同。,邱少云被授予“志愿军一级英雄”称号,智者是为获得最大成就的人保留的称号,不要把荣誉称号当成骄傲的资本，而要当成前进的动力,爸爸获得全国“十佳青年”的光荣称号,D
12,以下哪句话中“名称”的意思(或用法)与其他句子不同。,名字有什么关系？把玫瑰花叫做别的名称，它还是照样芳香。莎士比,"""君子疾没世而名不称焉。","""说到名称的由来,有人是这样说的：传说夏娃和亚当受到蛇的诱惑吃下禁果,因而被逐出伊甸园.夏娃悔恨之余不禁流下悲伤的泪珠,泪水落地后即化成洁白芬芳的百合花""",老师，这个光彩夺目的名称，将像一颗灿烂的明星，永远高悬在我们的胸中,B
13,以下哪句话中“成绩”的意思(或用法)与其他句子不同。,一笔一画关乎成绩，一字一句决定人生,我们不能一有成绩，就像皮球一样，别人拍不得，轻轻一拍，就跳得老高。成绩越大，越要谦虚谨慎,如果能够做出成绩，销售的收入和未来都是要比技术好一些的，对于个性的磨练也有好处,当人们知道自己的工作成绩有人检查的时候会加倍努力,A
14,以下哪句话中“程度”的意思(或用法)与其他句子不同。,从某种程度来说，坚持也许会是个错误，但坚持时间过短或根本就不坚持则是更大的错误,环境改变的程度越高，则人格改变的程度也越高了。华,一个人受尊重的程度取决于他的钱财的多少。玉外,理论在一个国家的实践程度，决定于理论满足于这个国家的需要的程度。马克,A
